Timestamp,Your First choice Agent App / Agent Harness,Model,Do you use another AI coding setup / Model at least once per week?,Agent / Harness (Optional),Model  (Optional),Agent / Harness,Model,Agent / Harness,Model,how much does your AI coding-agent usage cost per month in total?
8/13/2026 15:50:35,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,yes,Antigravity,Gemini 3.1 Pro,,,,,100-199 EUR
8/13/2026 15:55:33,Claude (Code CLI/Desktop code mode),Claude Opus 5,no,,,,,,,I don't know
8/13/2026 16:11:23,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,Codex (app/cli),GPT-5.6 Sol,Pi,Kimi K3,,,Flat Rate Subscription (e.g. Gemini)
8/13/2026 16:35:17,Claude (Code CLI/Desktop code mode),Other,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,,,,,Flat Rate Subscription (e.g. Gemini)
8/13/2026 16:53:35,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,Hermes,I don't know / automatically selected,,,200-499 EUR
8/13/2026 17:19:41,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,,,,,200-499 EUR
8/13/2026 17:58:54,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,Antigravity,Gemini 3.1 Pro,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,OpenCode,Other,I don't know
8/13/2026 20:41:38,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,no,,,,,,,100-199 EUR
8/13/2026 22:56:35,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,no,,,,,,,I don't know
8/14/2026 6:13:42,OpenCode,Other,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,GitHub Copilot (CLI/VSCode),GPT-5.6 Terra,Hermes,Other,100-199 EUR
8/14/2026 8:30:48,GitHub Copilot (CLI/VSCode),Claude Sonnet 4.6,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,GitHub Copilot (CLI/VSCode),I don't know / automatically selected,,,100-199 EUR
8/14/2026 11:04:03,Other,Gemini 3.6 Flash,yes,,,,,,,I don't know
8/14/2026 11:08:15,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,no,,,,,,,20-49 EUR
8/14/2026 15:13:01,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,no,,,,,,,Flat Rate Subscription (e.g. Gemini)
8/14/2026 15:13:46,Claude (Code CLI/Desktop code mode),Claude Opus 5,no,,,,,,,200-499 EUR
8/14/2026 15:51:35,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,GitHub Copilot (CLI/VSCode),GPT-5.6 Luna,,,,,Flat Rate Subscription (e.g. Gemini)
8/14/2026 16:50:40,Claude (Code CLI/Desktop code mode),Claude Opus 5,no,,,,,,,20-49 EUR
8/14/2026 17:06:07,Claude (Code CLI/Desktop code mode),Gemini 3.1 Pro,no,,,,,,,Flat Rate Subscription (e.g. Gemini)
8/14/2026 17:13:33,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,no,,,,,,,20-49 EUR
8/16/2026 16:21:33,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,no,,,,,,,100-199 EUR
8/17/2026 8:35:45,OpenCode,DeepSeek V4 Flash 0731,yes,,,,,,,200-499 EUR
8/17/2026 9:00:12,Claude (Code CLI/Desktop code mode),Claude Opus 4.8,yes,Antigravity,Gemini 3.6 Flash,,,,,20-49 EUR
8/17/2026 9:12:07,Claude (Code CLI/Desktop code mode),Claude Opus 4.8,no,,,,,,,Flat Rate Subscription (e.g. Gemini)
8/17/2026 9:45:52,GitHub Copilot (CLI/VSCode),Claude Sonnet 4.6,yes,GitHub Copilot (CLI/VSCode),Gemini 3.6 Flash,Claude (Code CLI/Desktop code mode),Claude Opus 4.8,Other,Other,"1,000 EUR or more"
8/17/2026 12:43:57,Codex (app/cli),Claude Opus 5,no,,,,,,,Flat Rate Subscription (e.g. Gemini)
8/17/2026 13:00:16,OpenCode,DeepSeek V4 Flash 0731,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,Pi,Other,,,50-99 EUR
8/18/2026 12:55:29,Claude (Code CLI/Desktop code mode),GPT-5.6 Sol,yes,Codex (app/cli),Claude Fable 5,Other,GPT-5.6 Luna,Claude (Code CLI/Desktop code mode),Claude Opus 5,100-199 EUR
8/18/2026 17:42:05,Codex (app/cli),GPT-5.6 Luna,yes,Codex (app/cli),GPT-5.6 Luna,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,,,Flat Rate Subscription (e.g. Gemini)
8/18/2026 19:53:14,Pi,GPT-5.6 Luna,yes,Claude (Code CLI/Desktop code mode),Claude Opus 5,OpenCode,GPT-5.6 Luna,,,100-199 EUR
8/19/2026 15:08:49,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,,,,,I don't know
8/26/2026 15:17:42,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,no,,,,,,,Flat Rate Subscription (e.g. Gemini)
9/2/2026 17:23:35,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,GitHub Copilot (CLI/VSCode),,,,,,200-499 EUR
9/10/2026 11:07:02,Pi,DeepSeek V4 Flash 0731,yes,OpenCode,Claude Sonnet 5,,,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,50-99 EUR
9/17/2026 20:51:03,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,yes,OpenCode,Claude Opus 5,OpenCode,GPT-5.6 Sol,,,100-199 EUR
